ZONE;ACRONYM;NAME;DATE;MEMBERS;ACTORS;TYPE;ROLE;THEME.I;THEME.II;THEME.III;HQ.Country;Description;HOMEPAGE;lon;lat
7;EnergyPlus;International Energy and Climate Initiative;2010;43;Public/CSO/Firm;Hybrid;4;Energy Access;;;Norway;Led by the Norwegian Ministry of Foreign Affairs, the overarching purpose of the Energy+ Initiative is to contribute to providing access to efficient energy services to all by increased development of renewable energy and energy efficiency, and to mitigate energy’s impacts on climate. It is an open partnership engaging, in particular countries in the developing world.;https://www.regjeringen.no/en/topics/foreign-affairs/development-cooperation/energy_plus/id672635/;8.468946;60.472024
7;PDC;Portfolio Decarbonization Coalition;2014;4;Public/CSO/Firm;Hybrid;6;Climate finance;;;Switzerland;Multi-stakeholder initiative that will drive GHG emissions reductions on the ground by mobilizing a critical mass of institutional investors committed to gradually decarbonizing their portfolios. ;http://unepfi.org/pdc/;8.227512;46.818188
7;RSB;The Roundtable on Sustainable Biofuels (RSB Standard);2007;93;Public/CSO/Firm;Hybrid;1;Renewable Energy;;;Switzerland;International multi-stakeholder initiative that brings together farmers, companies, non-governmental organizations, experts, governments, and inter-governmental agencies concerned with ensuring the sustainability of biomass and biomaterial production and processing. Their certification system is based on sustainability standards encompassing environmental, social and economic principles and criteria.;http://rsb.org/;8.227512;46.818188
7;UNEP-FI;UNEP Finance Initiative ;2003;217;Public/CSO/Firm;Hybrid;8;Climate finance;;;Switzerland;Global partnership between UNEP and the financial sector. Over 200 institutions, including banks, insurers and fund managers, work with UNEP to understand the impacts of environmental and social considerations on financial performance.;http://www.unepfi.org/;8.227512;46.818188
7;INCR;Investor Network on Climate Risk;2003;118;CSO/Firm/Public;Hybrid;3;Climate finance;;;United States of America;Network of more than 110 institutional investors representing more than $13 trillion in assets committed to addressing the risks and seizing the opportunities resulting from climate change and other sustainability challenges. ;http://www.ceres.org/investor-network/incr;-95.712891;37.09024
7;LEDS GP;Low Emission Development Strategies Global Partnership;2011;27;Public/CSO/Firm;Hybrid;3;Energy Access;Renewable Energy;;United States of America;LEDS GP aims at reducing GHG emissions while also increasing resilience towards climate change impacts. It does so by linking practitioners and policymakers in regional platforms and work groups that promote low emission development strategies. It has six workgroups working on topics including Agriculture and Forestry, Energy, Finance and transportation.;http://www.ledsgp.org/;-95.712891;37.09024
7;NCM;Networked Carbon Markets Initiative;2013;1;Public/CSO/Firm;Hybrid;3;Carbon pricing and trading;;;United States of America;"Through the Networked Carbon Markets Initiative, the World Bank Group is convening civil society, governments and the private sector to develop a framework for assessing climate mitigation efforts and infrastructure to support carbon market related functions. The end-goal is to facilitate linking or ""networking"" of heterogeneous carbon markets so that the linked markets will have greater liquidity and deliver climate-smart financing more efficiently.";http://www.worldbank.org/en/topic/climatechange/brief/globally-networked-carbon-markets;-95.712891;37.09024
7;FCPF;Forest Carbon Partnership Facility;2008;62;Public;Public;10;Forest;;;United States of America;Global partnership of governments, businesses, civil society, and Indigenous Peoples focused on reducing emissions from deforestation and forest degradation, forest carbon stock conservation, the sustainable management of forests, and the enhancement of forest carbon stocks in developing countries (activities commonly referred to as REDD+). It has two separate but complementary funding mechanisms – the Readiness Fund and the Carbon Fund.;https://www.forestcarbonpartnership.org/;-95.712891;37.09024
7;CUD;Connected Urban Development;2006;2;Public/Firm;Hybrid;3;Urban climate action;;;United States of America;It demonstrates how to reduce carbon emissions by introducing fundamental improvements in the efficiency of urban infrastructure through information and communications technology. It was born from Cisco's commitment to the Clinton Global Initiative to participate in helping reduce carbon emissions.;http://www.cisco.com/web/about/ac79/ps/cud/about.html;-95.712891;37.09024
7;DI;Divest-Invest Global Movement;2014;41;Public/CSO/Firm;Hybrid;3;Climate finance;;;;DI encourage inventors across the public and private sectors and across different types of funds to divest from fossil fuel industries and promote a clean energy future. In 2015 DI represented over 500 organizations and $3.4 trillion. ;http://divestinvest.org/;NA;NA
7;CSR;Compact of States and Regions;2015;4;CSP/Private/Public;Hybrid;1;Urban climate action;MRV;;;CSR is a reporting scheme for states and provinces for tracking climate mitigation efforts. The institution contributes to global climate governance through an annual assessment on global efforts (on the state and provincial level) taken to tackle climate change.;http://www.theclimategroup.org/what-we-do/programs/compact-of-states-and-regions/;NA;NA
